ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13755264,JJ157217,02/21/2025 09:00:00 AM,080XX S ELLIS AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0631,006,8,44,05,1184291,1851855,2025,03/01/2025 03:41:07 PM,41.74866035,-87.600261793,POINT (-87.600261793 41.74866035)
13754799,JJ156609,02/21/2025 09:00:00 AM,036XX N CENTRAL AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,1633,016,30,15,06,1138378,1923543,2025,03/01/2025 03:41:07 PM,41.946333032,-87.766772709,POINT (-87.766772709 41.946333032)
13755068,JJ157227,02/21/2025 09:00:00 AM,074XX S HARVARD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0731,007,6,69,14,1175243,1855649,2025,03/01/2025 03:41:07 PM,41.7592783,-87.633303591,POINT (-87.633303591 41.7592783)
13763936,JJ167585,02/21/2025 09:00:00 AM,013XX W 107TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,2234,022,21,75,06,1169400,1833817,2025,03/05/2025 03:41:23 PM,41.699496599,-87.655348189,POINT (-87.655348189 41.699496599)
13770850,JJ176122,02/21/2025 09:00:00 AM,030XX N MILWAUKEE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,TAVERN / LIQUOR STORE,false,false,2523,025,31,21,11,1150911,1920312,2025,03/12/2025 03:40:54 PM,41.937230344,-87.720789844,POINT (-87.720789844 41.937230344)
13754681,JJ156678,02/21/2025 09:00:00 AM,077XX S SOUTH SHORE DR,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0421,004,7,43,08A,1197153,1854870,2025,03/01/2025 03:41:07 PM,41.756623356,-87.55303151,POINT (-87.55303151 41.756623356)
13754690,JJ156616,02/21/2025 09:00:00 AM,043XX S LANGLEY AVE,0560,ASSAULT,SIMPLE,APARTMENT,true,true,0221,002,4,38,08A,1181651,1876448,2025,03/01/2025 03:41:07 PM,41.81620715,-87.609176659,POINT (-87.609176659 41.81620715)
13754976,JJ156942,02/21/2025 09:00:00 AM,023XX N RACINE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,1811,018,2,7,11,1167924,1915511,2025,03/01/2025 03:41:07 PM,41.923705559,-87.658403395,POINT (-87.658403395 41.923705559)
13754833,JJ156623,02/21/2025 08:58:00 AM,009XX E 80TH ST,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,false,false,0631,006,8,44,04B,1183739,1852153,2025,03/01/2025 03:41:07 PM,41.749490981,-87.602275219,POINT (-87.602275219 41.749490981)
13754640,JJ156594,02/21/2025 08:50:00 AM,030XX N BROADWAY,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,1934,019,44,6,06,1171721,1920469,2025,03/01/2025 03:41:07 PM,41.937227668,-87.644305471,POINT (-87.644305471 41.937227668)
13754882,JJ156603,02/21/2025 08:50:00 AM,0000X E 113TH ST,0460,BATTERY,SIMPLE,DAY CARE CENTER,false,true,0531,005,9,49,08B,1178402,1830052,2025,03/01/2025 03:41:07 PM,41.688965711,-87.62250068,POINT (-87.62250068 41.688965711)
13754758,JJ156576,02/21/2025 08:41:00 AM,070XX S RHODES AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SCHOOL - PUBLIC GROUNDS,false,false,0322,003,6,69,04A,1181124,1858439,2025,03/01/2025 03:41:07 PM,41.766801004,-87.611664319,POINT (-87.611664319 41.766801004)
13754687,JJ156574,02/21/2025 08:40:00 AM,032XX W DIVERSEY AVE,0560,ASSAULT,SIMPLE,STREET,false,true,1412,014,35,21,08A,1154350,1918440,2025,03/01/2025 03:41:07 PM,41.932025309,-87.708201077,POINT (-87.708201077 41.932025309)
13754819,JJ156817,02/21/2025 08:30:00 AM,017XX N LOREL AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,2532,025,37,25,06,1140464,1910986,2025,03/01/2025 03:41:07 PM,41.911837221,-87.759414078,POINT (-87.759414078 41.911837221)
13754801,JJ156710,02/21/2025 08:30:00 AM,020XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0132,001,3,33,08B,1177528,1890620,2025,03/01/2025 03:41:07 PM,41.855190551,-87.623871195,POINT (-87.623871195 41.855190551)
13755983,JJ158323,02/21/2025 08:30:00 AM,037XX W 63RD ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,0823,008,23,65,11,1152502,1862573,2025,03/01/2025 03:41:07 PM,41.778756448,-87.716467194,POINT (-87.716467194 41.778756448)
13754698,JJ156556,02/21/2025 08:30:00 AM,0000X N MICHIGAN AVE,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,false,false,0112,001,34,32,08A,1177308,1900543,2025,03/01/2025 03:41:07 PM,41.882424852,-87.624377884,POINT (-87.624377884 41.882424852)
13754720,JJ156557,02/21/2025 08:30:00 AM,064XX N LEAVITT ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,false,false,2412,024,50,2,26,1160470,1942713,2025,03/01/2025 03:41:07 PM,41.998506964,-87.685035992,POINT (-87.685035992 41.998506964)
13779038,JJ185914,02/21/2025 08:30:00 AM,0000X N LOREL AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,1522,015,37,25,08B,1140719,1899747,2025,03/20/2025 03:44:09 PM,41.880991374,-87.758753786,POINT (-87.758753786 41.880991374)
13755834,JJ158038,02/21/2025 08:30:00 AM,110XX S PULASKI RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2211,022,19,74,07,1151663,1830998,2025,03/01/2025 03:41:07 PM,41.692125515,-87.720367499,POINT (-87.720367499 41.692125515)
13754713,JJ156570,02/21/2025 08:29:00 AM,018XX S KOMENSKY AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,1012,010,24,29,08B,1149681,1890607,2025,03/01/2025 03:41:07 PM,41.855740782,-87.726083018,POINT (-87.726083018 41.855740782)
13756561,JJ158924,02/21/2025 08:24:00 AM,049XX N MONTICELLO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1712,017,33,14,26,1151161,1932594,2025,03/01/2025 03:41:07 PM,41.970928138,-87.719547766,POINT (-87.719547766 41.970928138)
13754826,JJ156549,02/21/2025 08:16:00 AM,073XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0732,007,6,68,08B,1173237,1856124,2025,03/01/2025 03:41:07 PM,41.760626317,-87.640641467,POINT (-87.640641467 41.760626317)
13754836,JJ156648,02/21/2025 08:12:00 AM,050XX N PULASKI RD,0553,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,PARK PROPERTY,true,false,1712,017,39,13,04A,1148814,1933312,2025,03/14/2025 03:40:09 PM,41.972944196,-87.728159323,POINT (-87.728159323 41.972944196)
